nct_id,canonical_name_final,lead_sponsor,lead_sponsor_class,brief_title,phase,overall_status,source_therapy_name,therapy_identity_final,mechanism_superfamily,mechanism_family,molecular_targets,mechanism_action,modality,agonist_order,incretin_based,classification_status,confidence,source_url,notes,scope_review_flag,classification_status_original,classification_status_final,mechanism_superfamily_final,mechanism_family_final,mechanism_classified,researched_but_publicly_undisclosed,unreviewed_long_tail
NCT04167553,hm15136,Hanmi Pharmaceutical Company Limited,INDUSTRY,Study for Multiple Doses of HM15136(Efpegerglucagon) in Obese or Overweight Subjects With Comorbidities,PHASE1,COMPLETED,hm15136,HM15136,Glucagon pathway,glucagon,GCGR,Long-acting glucagon receptor agonism,peptide,mono,False,VERIFIED,high,https://diabetesjournals.org/diabetes/article/68/Supplement_1/109-LB/58576/,Long-acting glucagon analogue developed for weight loss through increased energy expenditure.,False,VERIFIED,VERIFIED,Glucagon pathway,glucagon,True,False,False
NCT04174755,semaglutide,University College Dublin,OTHER,Semaglutide's Efficacy in Achieving Weight Loss for Those With HIV,,RECRUITING,semaglutide,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Long-acting GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04184622,tirzepatide,Eli Lilly and Company,INDUSTRY,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight,PHASE3,COMPLETED,tirzepatide,tirzepatide,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Dual incretin agonist.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
NCT04187300,semaglutide,Novo Nordisk A/S,INDUSTRY,A Research Study Looking at the Comparability (Bioequivalence) of Two Forms of Semaglutide in Two Different Pen-injectors in People With Overweight or Obesity,PHASE1,COMPLETED,semaglutide,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Long-acting GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04187339,ngm395,"NGM Biopharmaceuticals, Inc",INDUSTRY,Study of NGM395 in Adult Participants,PHASE1,COMPLETED,,ngm395,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT04189848,dulaglutide,Novo Nordisk A/S,INDUSTRY,Comparison of Injection Site Pain Experience for Semaglutide and Dulaglutide sc,PHASE4,COMPLETED,dulaglutide,dulaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,Fc-fusion protein,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Long-acting GLP-1RA.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04189848,semaglutide,Novo Nordisk A/S,INDUSTRY,Comparison of Injection Site Pain Experience for Semaglutide and Dulaglutide sc,PHASE4,COMPLETED,semaglutide,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Long-acting GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04194424,metformin hcl tab,American University of Beirut Medical Center,OTHER,A Multidisciplinary Weight Loss Program at AUB-MC,,ACTIVE_NOT_RECRUITING,,metformin hcl tab,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT04199351,amg 171,Amgen,INDUSTRY,Single and Multiple Ascending Dose Study of AMG 171 in Subjects With Obesity,PHASE1,TERMINATED,amg 171,AMG 171,CNS/appetite,GDF15/GFRAL,GDF15; GFRAL/RET pathway,Long-acting GDF15 agonism suppressing food intake via GFRAL/RET,GDF15-Fc fusion protein,mono,False,VERIFIED,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC12361751/,GDF15-Fc fusion programme; discontinued after Phase 1.,False,VERIFIED,VERIFIED,CNS/appetite,GDF15/GFRAL,True,False,False
NCT04209049,cagrilintide,Novo Nordisk A/S,INDUSTRY,A Research Study Looking Into Blood Levels of NNC0174-0833 in People With Normal and Impaired Kidney Function,PHASE1,COMPLETED,cagrilintide,cagrilintide,Amylin-based,amylin,AMY1R; AMY2R; AMY3R; CTR,Long-acting amylin/calcitonin receptor agonist,peptide,multi,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/42452898/,Long-acting amylin analogue with activity across amylin receptors and CTR.,False,VERIFIED,VERIFIED,Amylin-based,amylin,True,False,False
NCT04228354,semaglutide,Novo Nordisk A/S,INDUSTRY,A Research Study Looking at the Comparability (Bioequivalence) of Two Versions of Semaglutide,PHASE1,COMPLETED,semaglutide,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Long-acting GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04238962,semaglutide,Novo Nordisk A/S,INDUSTRY,A Research Study to Compare Two Different Forms of Once-weekly Semaglutide in Two Different Injection Pens,PHASE1,COMPLETED,semaglutide,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Long-acting GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04251156,semaglutide,Novo Nordisk A/S,INDUSTRY,Research Study of How Well Semaglutide Works in People Living With Overweight or Obesity.,PHASE3,COMPLETED,semaglutide,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Long-acting GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04259801,nnc0480-0389,Novo Nordisk A/S,INDUSTRY,"First Research Study to Look at How Two Medicines, NNC0480-0389 and Semaglutide, Work Together in Healthy People, in People With High Body Weight and in People With Diabetes",PHASE1,COMPLETED,,nnc0480-0389,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT04259801,semaglutide,Novo Nordisk A/S,INDUSTRY,"First Research Study to Look at How Two Medicines, NNC0480-0389 and Semaglutide, Work Together in Healthy People, in People With High Body Weight and in People With Diabetes",PHASE1,COMPLETED,semaglutide,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Long-acting GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04274608,botulinum toxin type a,Tan Tock Seng Hospital,OTHER,"Intra-gastric Fundal and Body Injection of Botulinum Toxin A for Weight Loss, a Randomized Controlled Trial",PHASE2; PHASE3,UNKNOWN,botulinum toxin type a,onabotulinumtoxinA,GI motility/appetite,cholinergic neuromuscular blockade,SNAP25 / acetylcholine-release machinery,"Botulinum toxin-mediated inhibition of acetylcholine release, used intragastrically to alter gastric motility/satiety",protein toxin biologic,,False,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT04274608,Collapse Botox/Botulinum toxin A labels to onabotulinumtoxinA.,False,VERIFIED_ALIAS,VERIFIED_ALIAS,GI motility/appetite,cholinergic neuromuscular blockade,True,False,False
NCT04298203,phentermine + topiramate,University of Minnesota,OTHER,Role of Pharmacotherapy in Counteracting Weight Regain in Adolescents With Severe Obesity,PHASE2,COMPLETED,phentermine + topiramate,phentermine + topiramate,CNS/appetite,sympathomimetic + anticonvulsant,monoaminergic pathways; GABA/glutamate pathways,Appetite suppression through complementary CNS mechanisms,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,sympathomimetic + anticonvulsant,True,False,False
NCT04311411,tirzepatide,Eli Lilly and Company,INDUSTRY,A Study of Tirzepatide in Overweight and Very Overweight Participants,PHASE1,COMPLETED,tirzepatide,tirzepatide,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Dual incretin agonist.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
NCT04389775,ecnoglutide,Sciwind Biosciences APAC CO Pty. Ltd.,INDUSTRY,"To Evaluate the Safety, Tolerability, PK, and PD of XW003 Injection in Healthy Adult Participants",PHASE1,COMPLETED,ecnoglutide,ecnoglutide,Incretin-based,GLP-1,GLP1R,cAMP-biased GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/37364710/,XW003; long-acting GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04399395,naltrexone + bupropion,Oslo University Hospital,OTHER,Naltrexone/Bupropion (Mysimba) to Optimize Weight Outcomes After Obesity Surgery,PHASE4,WITHDRAWN,naltrexone + bupropion,naltrexone + bupropion,CNS/appetite,opioid + catecholamine,OPRM1; NET/DAT pathways,Opioid receptor antagonism plus noradrenergic/dopaminergic appetite modulation,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,opioid + catecholamine,True,False,False
NCT04407234,tirzepatide,Eli Lilly and Company,INDUSTRY,A Study to Measure Stomach Emptying in Overweight Non-diabetic and Diabetic Participants Using Tirzepatide,PHASE1,COMPLETED,tirzepatide,tirzepatide,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Dual incretin agonist.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
NCT04408586,phentermine + topiramate,Mayo Clinic,OTHER,Anti-Obesity Phentermine-Topiramate Extended Release Pharmacotherapy vs Placebo Among Patients Using a Wearable Activity Tracker,PHASE4,COMPLETED,phentermine + topiramate,phentermine + topiramate,CNS/appetite,sympathomimetic + anticonvulsant,monoaminergic pathways; GABA/glutamate pathways,Appetite suppression through complementary CNS mechanisms,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,sympathomimetic + anticonvulsant,True,False,False
NCT04440345,mazdutide,Innovent Biologics (Suzhou) Co. Ltd.,INDUSTRY,"Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of IBI362 in Overweight or Obesity Subjects",PHASE1; PHASE2,COMPLETED,mazdutide,mazdutide,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Former development code IBI362/LY3305677.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/glucagon,True,False,False
NCT04443790,leptin human,Hafiz Muhammad Asif,OTHER,Clinical Evaluation of Polyherbal Coded Formulation Obesecure for Leptin Regulation and Obesity Management,PHASE2,COMPLETED,,leptin human,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT04447261,bi 1356225,Boehringer Ingelheim,INDUSTRY,A Study to Test How Well Different Doses of BI 1356225 Are Tolerated by Men and Women With Obesity or Overweight,PHASE1,COMPLETED,bi 1356225,BI 1356225,CNS/appetite,ghrelin/GOAT,MBOAT4 (GOAT),Ghrelin-O-acyltransferase inhibition reduces formation of active acylated ghrelin,small molecule,,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/36958671/,Oral GOAT inhibitor studied in overweight/obesity.,False,VERIFIED,VERIFIED,CNS/appetite,ghrelin/GOAT,True,False,False
NCT04449536,mesna,University of Oslo,OTHER,Cysteine-lowering Treatment With Mesna,PHASE1,COMPLETED,,mesna,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT04478708,maridebart cafraglutide,Amgen,INDUSTRY,Single and Multiple Ascending Dose Study of AMG 133 in Participants With Obesity,PHASE1,COMPLETED,maridebart cafraglutide,maridebart cafraglutide,Incretin-based,GLP-1 agonism + GIP antagonism,GLP1R; GIPR,GLP-1 receptor agonism plus GIP receptor antagonism,antibody-peptide conjugate,,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/38316982/,Anti-GIPR antibody conjugated to GLP-1 agonist peptides.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1 agonism + GIP antagonism,True,False,False
NCT04487743,liraglutide,Xiangya Hospital of Central South University,OTHER,Efficacy and Safety of Liraglutide on Body Weight in Obese Subjects or Overweight Subjects With Co-morbidities,PHASE3,UNKNOWN,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04499950,naltrexone + bupropion,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,Adaptive Nutrition and Exercise Weight Loss (A-NEW) Study,PHASE2,COMPLETED,naltrexone + bupropion,naltrexone + bupropion,CNS/appetite,opioid + catecholamine,OPRM1; NET/DAT pathways,Opioid receptor antagonism plus noradrenergic/dopaminergic appetite modulation,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,opioid + catecholamine,True,False,False
NCT04520490,exenatide,Seattle Children's Hospital,OTHER,Brain Activation and Satiety in Children 2,PHASE3,ACTIVE_NOT_RECRUITING,exenatide,exenatide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Exendin-4 based GLP-1RA.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04521738,sar441255,Sanofi,INDUSTRY,First-in-human Study to Assess Safety and Tolerability of a Single Subcutaneous Dose of SAR441255 in Lean to Overweight Subjects,PHASE1,COMPLETED,,sar441255,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT04521751,emp16-02 orlistat/ acarbose,Empros Pharma AB,INDUSTRY,"A Proof of Concept Trial in Overweight and Obese Patients, Investigating Effect of EMP16-02 on Body Weight (Primary)",PHASE1; PHASE2,COMPLETED,emp16-02 orlistat/ acarbose,EMP16 (orlistat + acarbose),GI nutrient absorption,lipase + carbohydrate-digestion inhibition,gastric/pancreatic lipases; intestinal alpha-glucosidases/amylase,Modified-release combination reduces fat absorption and delays carbohydrate digestion,small-molecule combination/formulation,,False,VERIFIED_ALIAS,high,https://pubmed.ncbi.nlm.nih.gov/36123783/,EMP16 is modified-release orlistat + acarbose.,False,VERIFIED_ALIAS,VERIFIED_ALIAS,GI nutrient absorption,lipase + carbohydrate-digestion inhibition,True,False,False
NCT04525300,liraglutide,Xiangya Hospital of Central South University,OTHER,Gut Microbiome Changes Following Liraglutide Treatment in Obese Subjects or Overweight Subjects With Co-morbidities,PHASE3,UNKNOWN,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04529278,liraglutide,Fondation Hôpital Saint-Joseph,OTHER,Efficacy and Tolerance of Liraglutide for Weight Loss in Obese Type 2 Diabetic Hemodialysis Patients,PHASE2,UNKNOWN,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04531176,liraglutide,The Cleveland Clinic,OTHER,EMI-EHP Weight Management and Type 2 Diabetes Pragmatic Trial,PHASE4,TERMINATED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04531176,naltrexone + bupropion,The Cleveland Clinic,OTHER,EMI-EHP Weight Management and Type 2 Diabetes Pragmatic Trial,PHASE4,TERMINATED,naltrexone + bupropion,naltrexone + bupropion,CNS/appetite,opioid + catecholamine,OPRM1; NET/DAT pathways,Opioid receptor antagonism plus noradrenergic/dopaminergic appetite modulation,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,opioid + catecholamine,True,False,False
NCT04531176,orlistat,The Cleveland Clinic,OTHER,EMI-EHP Weight Management and Type 2 Diabetes Pragmatic Trial,PHASE4,TERMINATED,orlistat,orlistat,GI nutrient absorption,lipase inhibition,gastric and pancreatic lipases,Gastrointestinal lipase inhibitor reducing dietary fat absorption,small molecule,,False,VERIFIED,high,,Peripheral gastrointestinal mechanism.,False,VERIFIED,VERIFIED,GI nutrient absorption,lipase inhibition,True,False,False
NCT04531176,phentermine + topiramate,The Cleveland Clinic,OTHER,EMI-EHP Weight Management and Type 2 Diabetes Pragmatic Trial,PHASE4,TERMINATED,phentermine + topiramate,phentermine + topiramate,CNS/appetite,sympathomimetic + anticonvulsant,monoaminergic pathways; GABA/glutamate pathways,Appetite suppression through complementary CNS mechanisms,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,sympathomimetic + anticonvulsant,True,False,False
NCT04551482,oxytocin,Massachusetts General Hospital,OTHER,Oxytocin for Weight Loss in Adolescents,PHASE2,RECRUITING,oxytocin,oxytocin,Oxytocin,oxytocin receptor,OXTR,Oxytocin receptor agonist,peptide,mono,False,VERIFIED,high,,Repurposed satiety/appetite pathway.,False,VERIFIED,VERIFIED,Oxytocin,oxytocin receptor,True,False,False
NCT04561245,alt-801,"Altimmune, Inc.",INDUSTRY,ALT-801 (Pemvidutide) in Healthy Overweight and Obese Volunteers to Study Safety and Tolerability,PHASE1,COMPLETED,alt-801,pemvidutide,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED_ALIAS,high,https://diabetesjournals.org/diabetes/article/71/Supplement_1/334-OR/146219/,ALT-801 is pemvidutide.,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1/glucagon,True,False,False
NCT04572217,phentermine,Janey Pratt,OTHER,Medications After Adolescent Bariatric Surgery,PHASE2,WITHDRAWN,phentermine,phentermine,CNS/appetite,sympathomimetic,noradrenergic/monoaminergic pathways,Sympathomimetic appetite suppression,small molecule,,False,VERIFIED,high,,Established appetite suppressant.,False,VERIFIED,VERIFIED,CNS/appetite,sympathomimetic,True,False,False
NCT04572217,topiramate,Janey Pratt,OTHER,Medications After Adolescent Bariatric Surgery,PHASE2,WITHDRAWN,topiramate,topiramate,CNS/appetite,anticonvulsant/appetite,GABA-A; AMPA/kainate; carbonic anhydrase (pleiotropic),Pleiotropic CNS appetite-modulating effects,small molecule,,False,VERIFIED,medium,,Mechanism relevant to weight loss is multifactorial.,False,VERIFIED,VERIFIED,CNS/appetite,anticonvulsant/appetite,True,False,False
NCT04575194,liraglutide,National and Kapodistrian University of Athens,OTHER,Study of the Cardiometabolic Effects of Obesity Pharmacotherapy,PHASE4,UNKNOWN,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04575194,naltrexone + bupropion,National and Kapodistrian University of Athens,OTHER,Study of the Cardiometabolic Effects of Obesity Pharmacotherapy,PHASE4,UNKNOWN,naltrexone + bupropion,naltrexone + bupropion,CNS/appetite,opioid + catecholamine,OPRM1; NET/DAT pathways,Opioid receptor antagonism plus noradrenergic/dopaminergic appetite modulation,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,opioid + catecholamine,True,False,False
NCT04578652,metformin bid,University of Alberta,OTHER,Fiber and Metformin Combination Therapy in Adolescents With Severe Obesity and Insulin Resistance,PHASE3,RECRUITING,,metformin bid,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT04587843,naltrexone + bupropion,St. Joseph's Healthcare Hamilton,OTHER,A Trial Evaluating the Effectiveness of Contrave in Patients Who Have Weight Recidivism Following Bariatric Surgery,PHASE4,UNKNOWN,naltrexone + bupropion,naltrexone + bupropion,CNS/appetite,opioid + catecholamine,OPRM1; NET/DAT pathways,Opioid receptor antagonism plus noradrenergic/dopaminergic appetite modulation,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,opioid + catecholamine,True,False,False
NCT04589130,naltrexone + bupropion,St. Joseph's Healthcare Hamilton,OTHER,"Evaluating Contrave for Weight Maintenance in Adults With BMI >= 27 Kg/m2, After 6 Month Behaviour Modification Program.",PHASE4,UNKNOWN,naltrexone + bupropion,naltrexone + bupropion,CNS/appetite,opioid + catecholamine,OPRM1; NET/DAT pathways,Opioid receptor antagonism plus noradrenergic/dopaminergic appetite modulation,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,opioid + catecholamine,True,False,False
NCT04599478,naltrexone + bupropion,Yale University,OTHER,Pharmacological and Behavioral Treatment After Bariatric Surgery: Acute (Stage 1),PHASE2; PHASE3,COMPLETED,naltrexone + bupropion,naltrexone + bupropion,CNS/appetite,opioid + catecholamine,OPRM1; NET/DAT pathways,Opioid receptor antagonism plus noradrenergic/dopaminergic appetite modulation,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,opioid + catecholamine,True,False,False
NCT04599504,lisdexamfetamine,Yale University,OTHER,Pharmacological and Behavioral Treatment After Bariatric Surgery: Medication Change for Non-Responders (Stage 2b),PHASE2; PHASE3,COMPLETED,lisdexamfetamine,lisdexamfetamine,CNS/appetite,catecholaminergic,DAT/NET pathways via dextroamphetamine,Prodrug stimulant increasing central catecholaminergic signalling,small molecule,,False,VERIFIED,high,,Repurposed CNS agent rather than a dedicated obesity asset.,False,VERIFIED,VERIFIED,CNS/appetite,catecholaminergic,True,False,False
NCT04605081,naltrexone + bupropion,Yale University,OTHER,Pharmacological and Behavioral Treatments After Bariatric Surgery: Maintenance Treatment (Stage 2a),PHASE2; PHASE3,COMPLETED,naltrexone + bupropion,naltrexone + bupropion,CNS/appetite,opioid + catecholamine,OPRM1; NET/DAT pathways,Opioid receptor antagonism plus noradrenergic/dopaminergic appetite modulation,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,opioid + catecholamine,True,False,False
NCT04605861,liraglutide,Shanghai Zhongshan Hospital,OTHER,The Efficacy and Safety of Liraglutide on Body Weight Loss in Obese and Overweight Patients,PHASE3,COMPLETED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04614545,phentermine,The Cleveland Clinic,OTHER,Comparing a Virtual vs. Face to Face Weight Management Program Using Phentermine for Patients With Overweight or Obesity,PHASE4,COMPLETED,phentermine,phentermine,CNS/appetite,sympathomimetic,noradrenergic/monoaminergic pathways,Sympathomimetic appetite suppression,small molecule,,False,VERIFIED,high,,Established appetite suppressant.,False,VERIFIED,VERIFIED,CNS/appetite,sympathomimetic,True,False,False
NCT04616339,danuglipron,Pfizer,INDUSTRY,STUDY TO COMPARE PHARMACOKINETICS (PK) OF SINGLE ORAL DOSES OF DIFFERENT PF-06882961 FORMULATIONS IN PARTICIPANTS WHO ARE OVERWEIGHT OR HAVE OBESITY,PHASE1,COMPLETED,danuglipron,danuglipron,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Oral nonpeptide GLP-1RA.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04617275,danuglipron,Pfizer,INDUSTRY,"A 12-WEEK TITRATE STUDY TO EVALUATE SAFETY, TOLERABILITY AND PHARMACODYNAMICS OF PF-06882961 IN ADULTS WITH TYPE 2 DIABETES MELLITUS AND IN NON-DIABETIC ADULTS WITH OBESITY",PHASE2,COMPLETED,danuglipron,danuglipron,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Oral nonpeptide GLP-1RA.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04621227,danuglipron,Pfizer,INDUSTRY,Study To Evaluate The Effect Of Two Steady State Doses of PF 06882961 On Rosuvastatin And Midazolam Pharmacokinetics In Otherwise Healthy Adult Participants With Obesity,PHASE1,COMPLETED,danuglipron,danuglipron,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Oral nonpeptide GLP-1RA.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT04621929,phentermine + topiramate,University of Florida,OTHER,Phentermine/Topiramate for Uric Acid Stones,PHASE2,COMPLETED,phentermine + topiramate,phentermine + topiramate,CNS/appetite,sympathomimetic + anticonvulsant,monoaminergic pathways; GABA/glutamate pathways,Appetite suppression through complementary CNS mechanisms,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,sympathomimetic + anticonvulsant,True,False,False
NCT04657003,tirzepatide,Eli Lilly and Company,INDUSTRY,A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes Who Have Obesity or Are Overweight,PHASE3,COMPLETED,tirzepatide,tirzepatide,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Dual incretin agonist.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
