therapy_identity_final,trial_count,pair_count,source_label_count,mechanism_superfamily_final,mechanism_family_final,molecular_targets,mechanism_action,modality,agonist_order,incretin_based,identity_classification_state,has_mapping_conflict,mapping_conflict_detail
caffeine + albuterol,1,1,1,Metabolic/energy expenditure,thermogenic/sympathomimetic combination,ADORA1/ADORA2A pathways; ADRB2,Caffeine plus beta2-adrenergic agonism to increase energy expenditure and improve body composition,small-molecule combination,combination,False,VERIFIED,False,
canagliflozin,1,1,1,Renal/glucose transport,SGLT2,SLC5A2 (SGLT2),SGLT2 inhibition increases urinary glucose excretion,small molecule,,False,VERIFIED,False,
diazoxide choline,1,1,1,CNS/appetite,KATP-channel activation,ATP-sensitive K+ channels (KATP),KATP-channel activation reduces hypothalamic orexigenic NPY/AgRP signalling and hyperphagia,small molecule,,False,VERIFIED,False,
disulfiram,1,1,1,Metabolic/lipid handling,lipid partitioning/autophagy,no single validated obesity target,Repurposed metabolic effect involving altered systemic lipid partitioning; earlier work also implicated autophagy,small molecule,,False,VERIFIED,False,
efocipegtrutide,1,1,1,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonism,Fc-fusion peptide/protein,triple,True,VERIFIED,False,
efpeglenatide,1,1,1,Incretin-based,GLP-1,GLP1R,Long-acting GLP-1 receptor agonism,peptide/Fc conjugate,mono,True,VERIFIED,False,
eloralintide + tirzepatide,1,1,1,Incretin + amylin,amylin + GLP-1/GIP combination,amylin receptors; GLP1R; GIPR,Combination of selective amylin-receptor agonism with dual GLP-1/GIP agonism,peptide combination,combination,True,VERIFIED,False,
entacapone,1,1,1,Metabolic/energy expenditure,FTO inhibition,FTO,FTO inhibition with downstream FOXO1 effects on hepatic gluconeogenesis and adipose thermogenesis,small molecule,,False,VERIFIED,False,
exenatide + dapagliflozin,1,1,1,Metabolic combination,GLP-1 + SGLT2,GLP1R; SLC5A2 (SGLT2),Combined GLP-1 receptor agonism and SGLT2 inhibition,peptide + small-molecule combination,combination,True,VERIFIED,False,
hcr-188,1,1,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
hdm1702,1,1,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
henagliflozin,1,1,1,Renal/glucose transport,SGLT2,SLC5A2 (SGLT2),SGLT2 inhibition increases urinary glucose excretion,small molecule,,False,VERIFIED,False,
hs-20136-2,1,1,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
huc2-676,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
huc2-676-r,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ibio-600,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
imm01-stem,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
immediate release topiramate,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
in-b00009,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
incretin-based therapy,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
insulin glargine,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
intragastric botulinum toxin type a,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
inv-202,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
inv-347,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
isis-fgfr4rx,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ism8969,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
itraconazole,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
itraconazole + vct220,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
k-757,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
k-757 and k-833 bid,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
k-757 and k-833 qd,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
k-757 and open-label sitagliptin,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
k-757 bid,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
k-757 bid and k-833 bid,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
kbp-336,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
kds2010,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
kn069,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
lae102 administration,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
lae102 in combined with lae103,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
lae102 multiple administration,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
lae103,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
lb64640,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
leptin human,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
leu met sil,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
leu sil,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
levothyroxine,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
lifestyle management,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
liver-expressed antimicrobial peptide 2 leap2,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
llf580,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
lomaira,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
lorcaserin bid,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
lorcaserin hydrochloride,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
lorcaserin hydrochloride xr,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ly3457263,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ly3537031,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ly3541105,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ly3971297,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ly3971297 iv,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ly4064912,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ly4086940,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ly4167586,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ly4174794,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ly4329090,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
mad in the abdomen,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
mazdutide dual glp-1r/gcgr agonist,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
mbl949,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
mbx 4291,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
megestrol acetate,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
mesna,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
met233,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
met233 and met097,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
metformin bid,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
metformin extended release er,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
metformin hcl tab,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
metformin hydrochloride,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
metformin or topiramate,1,1,1,Mixed/unspecified,mixed established pharmacotherapy,AMPK-associated metabolic pathways; CNS/GABA-glutamate pathways,Registry label allows either metformin or topiramate,mixed small-molecule class label,mixed,False,VERIFIED,False,
metformin with semaglutide,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
metformin xr,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
metformin+sibutramine,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
metformin-glp-1 receptor agonist,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
mixed diabetes pharmacotherapy classes,1,1,1,Mixed/unspecified,mixed metabolic drug classes,AMPK-associated pathways; DPP4; SLC5A2,"Registry class label spanning biguanide, DPP-4 inhibitor and SGLT2 inhibitor treatments",mixed small-molecule class label,mixed,False,VERIFIED,False,
mkp10241,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
mod-6031,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
monlunabant,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
montelukast,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
mph,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
mwn105,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
mwn110,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
mysimba,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
na-931 + no tirzepatide,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
na-931 dose 1 daily and orally,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
na-931 dose 3 daily and orally,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
na-931 dose 4 daily and orally,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
na-931 dose2 daily and orally,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nabilone,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
naltrexone + bupropion + metformin,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nb on-going from acute treatment,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ngm395,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nimacimab,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc0113-5840,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc0165-1875,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc0174 0833,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc0174-1213 a,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc0247-0829,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc0480-0389,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc0497-0040,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc0519-0130 b,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc0519-0130 c,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc0638-0355,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc0721-8060,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc6022-0004,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc6989-0001,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc9204-1177 a,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc9204-1706,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
nnc9204-1706 a,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
no-13065,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
ofirnoflast,1,1,1,Inflammation/metabolic,NEK7/NLRP3 inflammasome,NEK7,Allosteric NEK7 inhibition blocks NLRP3 inflammasome assembly and activation,small molecule,,False,VERIFIED,False,
ondansetron,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
oral cannabis,1,1,1,CNS/appetite,endocannabinoid,CNR1 (CB1); CNR2 (CB2),Mixed phytocannabinoid agonism/modulation of the endocannabinoid system,botanical cannabinoid drug mixture,mixed,False,VERIFIED,False,
orlistat cap,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
part c met097,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
perindopril,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
pf-06954522,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
pf-08642534,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
pg-102 mg12,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
php-303,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
pitavastatin,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
polyglucosamine glucomannan high dose verum,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
polyglucosamine glucomannan normal dose verum,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
pramlintide acetate,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
puerarin,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
regn20934,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
repaglinide,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
retatrutide ly3437943,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
rifampin + vct220,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
rn3161,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
roflumilast,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
rose-010,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
rosuvastatin calcium,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
rt-114 is the ranipill with pg-102 for the treatment of obesity,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
rzl-012,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
s -pindolol benzoate,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
s1b-509 high dose,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
s1b-509 low dose,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
s309309,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
sad in the abdomen,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
sar441255,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
scb0020160,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
semaglutide and behavioral program,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
semaglutide and nnc0165-1875,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
semaglutide in combination with a healthy lifestyle intervention diet and exercise,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
sgb-7342,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
shr-2906,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
shr20004,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
sibutramine + topiramate,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
simvastatin,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
single and mutiple dose,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
sleeve gastrectomy plus early mazdutide initiation,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
sodium bicarbonate,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
sodium pentaborate pentahydrate,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
srsd384,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
stp705,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
survodutide formulation a,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
survodutide formulation b2,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
syh2092,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
syh9017,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
synt101,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
tadalafil,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
taldefgrobep alfa,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
te-8105 mad cohort 1,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
te-8105 mad cohort 2,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
te-8105 sad cohort 1,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
te-8105 sad cohort 2,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
te-8105 sad cohort 3,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
te-8105 sad cohort 4,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
te-8105 sad cohort 5 adaptive cohort,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
tern-601,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
tesofensine/metoprolol,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
tesomet,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
tetrahydrocannabivarin,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
tirzapatide,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
tix100,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
tlc-6740,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
topiramate pill,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
tqf6422,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
trevogrumab-part a,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
trevogrumab-part b and part c,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
tulsi ocimum sanctum linn,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
unspecified anti-obesity pharmacotherapy,1,1,1,Mixed/unspecified,mixed anti-obesity class,,Generic registry label for an anti-obesity pharmacotherapy class rather than a single mechanism,mixed/unspecified,mixed,,VERIFIED,False,
unspecified antidepressant therapy,1,1,1,CNS/appetite,mixed antidepressant class,,Generic antidepressant-treatment class label; mechanism depends on the selected agent,mixed/unspecified,mixed,False,VERIFIED,False,
valsartan,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
varenicline,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
vi-0521,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
vildagliptin,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
vitamin d 1200 iu,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
vrb-103,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
vtx3232 dose a,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
vx-201,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
wst01 strain product,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
wve-007,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
xen-101,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
xla1,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
xtl6001,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
y14,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
zgn-1061,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
zp6590 for,1,1,1,Unclassified long tail,Not individually reviewed,,,,,,UNCLASSIFIED_LONG_TAIL,False,
